Country,Country code,Genre,Demographics (Age),%
韩国,KOR,社交,18-24,0.215
韩国,KOR,社交,25-34,0.338
韩国,KOR,社交,35-44,0.223
韩国,KOR,社交,45-54,0.133
韩国,KOR,社交,55+,0.09
墨西哥,MEX,真金游戏,18-24,0.218
墨西哥,MEX,真金游戏,25-34,0.446
墨西哥,MEX,真金游戏,35-44,0.226
墨西哥,MEX,真金游戏,45-54,0.088
墨西哥,MEX,真金游戏,55+,0.022
墨西哥,MEX,电子商务,18-24,0.158
墨西哥,MEX,电子商务,25-34,0.39
墨西哥,MEX,电子商务,35-44,0.292
墨西哥,MEX,电子商务,45-54,0.128
墨西哥,MEX,电子商务,55+,0.032
墨西哥,MEX,按需服务,18-24,0.26
墨西哥,MEX,按需服务,25-34,0.415
墨西哥,MEX,按需服务,35-44,0.219
墨西哥,MEX,按需服务,45-54,0.098
墨西哥,MEX,按需服务,55+,0.008
墨西哥,MEX,旅游,18-24,0.048
墨西哥,MEX,旅游,25-34,0.402
墨西哥,MEX,旅游,35-44,0.362
墨西哥,MEX,旅游,45-54,0.137
墨西哥,MEX,旅游,55+,0.051
墨西哥,MEX,金融,18-24,0.233
墨西哥,MEX,金融,25-34,0.456
墨西哥,MEX,金融,35-44,0.211
墨西哥,MEX,金融,45-54,0.075
墨西哥,MEX,金融,55+,0.026
墨西哥,MEX,娱乐,18-24,0.45
墨西哥,MEX,娱乐,25-34,0.332
墨西哥,MEX,娱乐,35-44,0.11
墨西哥,MEX,娱乐,45-54,0.075
墨西哥,MEX,娱乐,55+,0.033
墨西哥,MEX,社交,18-24,0.394
墨西哥,MEX,社交,25-34,0.39
墨西哥,MEX,社交,35-44,0.141
墨西哥,MEX,社交,45-54,0.054
墨西哥,MEX,社交,55+,0.022
美国,USA,真金游戏,18-24,0.135
美国,USA,真金游戏,25-34,0.352
美国,USA,真金游戏,35-44,0.281
美国,USA,真金游戏,45-54,0.13
美国,USA,真金游戏,55+,0.102
美国,USA,电子商务,18-24,0.079
美国,USA,电子商务,25-34,0.297
美国,USA,电子商务,35-44,0.308
美国,USA,电子商务,45-54,0.178
美国,USA,电子商务,55+,0.139
美国,USA,按需服务,18-24,0.216
美国,USA,按需服务,25-34,0.316
美国,USA,按需服务,35-44,0.236
美国,USA,按需服务,45-54,0.149
美国,USA,按需服务,55+,0.084
美国,USA,旅游,18-24,0.045
美国,USA,旅游,25-34,0.282
美国,USA,旅游,35-44,0.316
美国,USA,旅游,45-54,0.226
美国,USA,旅游,55+,0.131
美国,USA,金融,18-24,0.177
美国,USA,金融,25-34,0.395
美国,USA,金融,35-44,0.221
美国,USA,金融,45-54,0.12
美国,USA,金融,55+,0.087
美国,USA,娱乐,18-24,0.381
美国,USA,娱乐,25-34,0.292
美国,USA,娱乐,35-44,0.135
美国,USA,娱乐,45-54,0.102
美国,USA,娱乐,55+,0.089
美国,USA,社交,18-24,0.391
美国,USA,社交,25-34,0.325
美国,USA,社交,35-44,0.128
美国,USA,社交,45-54,0.072
美国,USA,社交,55+,0.084
越南,VNM,真金游戏,18-24,0.062
越南,VNM,真金游戏,25-34,0.523
越南,VNM,真金游戏,35-44,0.257
越南,VNM,真金游戏,45-54,0.104
越南,VNM,真金游戏,55+,0.055
越南,VNM,电子商务,18-24,0.236
越南,VNM,电子商务,25-34,0.476
越南,VNM,电子商务,35-44,0.207
越南,VNM,电子商务,45-54,0.075
越南,VNM,电子商务,55+,0.006
越南,VNM,按需服务,18-24,0.191
越南,VNM,按需服务,25-34,0.502
越南,VNM,按需服务,35-44,0.202
越南,VNM,按需服务,45-54,0.077
越南,VNM,按需服务,55+,0.028
越南,VNM,旅游,18-24,0.033
越南,VNM,旅游,25-34,0.576
越南,VNM,旅游,35-44,0.274
越南,VNM,旅游,45-54,0.109
越南,VNM,旅游,55+,0.009
越南,VNM,金融,18-24,0.037
越南,VNM,金融,25-34,0.392
越南,VNM,金融,35-44,0.264
越南,VNM,金融,45-54,0.302
越南,VNM,金融,55+,0.005
越南,VNM,娱乐,18-24,0.265
越南,VNM,娱乐,25-34,0.606
越南,VNM,娱乐,35-44,0.106
越南,VNM,娱乐,45-54,0.017
越南,VNM,娱乐,55+,0.006
越南,VNM,社交,18-24,0.275
越南,VNM,社交,25-34,0.414
越南,VNM,社交,35-44,0.206
越南,VNM,社交,45-54,0.07
越南,VNM,社交,55+,0.035
