Country,Country code,Genre,Growth,Position,Top Growing App
미국,USA,이커머스,,3,BBC
미국,USA,주문형,,3,OfferUp
미국,USA,여행,,3,ESPN
미국,USA,금융,,3,OfferUp
미국,USA,엔터테인먼트,,3,Tinder
미국,USA,소셜,,3,Alarmy
베트남,VNM,RMG,,3,The Weather Channel
베트남,VNM,이커머스,,3,MyFitnessPal
베트남,VNM,주문형,,3,MyFitnessPal
베트남,VNM,여행,,3,Vivino
베트남,VNM,금융,,3,Block Blast!
베트남,VNM,엔터테인먼트,,3,Citymapper
베트남,VNM,소셜,,3,Vivino
