Country,Country code,year,category,category2,revenue
모든 국가,All countries,2014,라이프스타일,비게임,187297278.7
모든 국가,All countries,2022,날씨,비게임,186826231.5
모든 국가,All countries,2020,내비게이션,비게임,183790146.9
모든 국가,All countries,2021,사진,비게임,181556795.1
모든 국가,All countries,2020,그래픽 및 디자인,비게임,179534918.5
모든 국가,All countries,2018,뉴스,비게임,175254809.1
모든 국가,All countries,2024,뉴스 및 잡지,비게임,175138588.9
모든 국가,All countries,2020,도서 및 참고자료,비게임,170844251.6
모든 국가,All countries,2014,커뮤니케이션,비게임,169494655.4
모든 국가,All countries,2019,도구,비게임,168366814.8
모든 국가,All countries,2021,날씨,비게임,166564133.5
모든 국가,All countries,2024,의료,비게임,163755212.8
모든 국가,All countries,2016,소셜,비게임,159220353.8
모든 국가,All countries,2015,건강 및 피트니스,비게임,156948859.5
모든 국가,All countries,2022,참고,비게임,156905070.7
모든 국가,All countries,2015,도서,비게임,156472979.8
모든 국가,All countries,2021,참고,비게임,153755977.4
모든 국가,All countries,2016,비즈니스,비게임,153739822.9
모든 국가,All countries,2015,뉴스,비게임,150911883.5
모든 국가,All countries,2019,금융,비게임,148846425.9
모든 국가,All countries,2017,뉴스,비게임,145568810.6
모든 국가,All countries,2020,사진,비게임,145520152.5
모든 국가,All countries,2023,의료,비게임,142030276.8
모든 국가,All countries,2016,뉴스,비게임,140806309
모든 국가,All countries,2024,여행,비게임,140186026.8
모든 국가,All countries,2014,도서,비게임,139638254.4
모든 국가,All countries,2024,지도 및 내비게이션,비게임,138543364.8
모든 국가,All countries,2015,사진 및 비디오,비게임,138248351.4
모든 국가,All countries,2019,내비게이션,비게임,136765298.1
모든 국가,All countries,2024,예술 및 디자인,비게임,136312176.9
모든 국가,All countries,2016,스포츠,비게임,135992761.1
모든 국가,All countries,2021,동영상 플레이어 및 편집,비게임,133700800.1
모든 국가,All countries,2024,음식 및 음료,비게임,133690892.3
모든 국가,All countries,2022,쇼핑,비게임,132222743.1
모든 국가,All countries,2021,쇼핑,비게임,130331667.5
모든 국가,All countries,2014,건강 및 피트니스,비게임,129060467.8
모든 국가,All countries,2023,뉴스 및 잡지,비게임,128360246.2
모든 국가,All countries,2014,내비게이션,비게임,128052749.9
모든 국가,All countries,2020,날씨,비게임,126990224.5
모든 국가,All countries,2014,사진 및 비디오,비게임,126720242.2
모든 국가,All countries,2022,의료,비게임,125916265.8
모든 국가,All countries,2018,만화,비게임,125620445.1
모든 국가,All countries,2015,스포츠,비게임,125381329.1
모든 국가,All countries,2015,내비게이션,비게임,124689287.3
모든 국가,All countries,2016,유틸리티,비게임,124180844.5
모든 국가,All countries,2018,도구,비게임,123697892.2
모든 국가,All countries,2018,금융,비게임,123202778.7
모든 국가,All countries,2014,스포츠,비게임,122523831.6
모든 국가,All countries,2023,여행,비게임,121615477.8
모든 국가,All countries,2021,의료,비게임,117213673.5
모든 국가,All countries,2023,예술 및 디자인,비게임,114605956
모든 국가,All countries,2020,참고,비게임,113476905.4
모든 국가,All countries,2016,데이트,비게임,112136147.8
모든 국가,All countries,2015,소셜,비게임,111227533.6
모든 국가,All countries,2021,음식 및 음료,비게임,108188089.4
모든 국가,All countries,2015,비즈니스,비게임,107967733
모든 국가,All countries,2023,지도 및 내비게이션,비게임,107902450.9
모든 국가,All countries,2018,내비게이션,비게임,107460620.9
모든 국가,All countries,2018,참고,비게임,106644246
모든 국가,All countries,2023,음식 및 음료,비게임,104761536.5
모든 국가,All countries,2022,여행,비게임,100317686.7
모든 국가,All countries,2022,음식 및 음료,비게임,100080679.7
모든 국가,All countries,2020,동영상 플레이어 및 편집,비게임,99679182.6
모든 국가,All countries,2020,쇼핑,비게임,98897669.1
모든 국가,All countries,2015,유틸리티,비게임,96865453.99
모든 국가,All countries,2022,뉴스 및 잡지,비게임,96553662.47
모든 국가,All countries,2021,뉴스 및 잡지,비게임,95331691.34
모든 국가,All countries,2019,사진,비게임,94693030.7
모든 국가,All countries,2019,날씨,비게임,93538800.46
모든 국가,All countries,2020,의료,비게임,92297024.47
모든 국가,All countries,2019,참고,비게임,90334748.77
모든 국가,All countries,2016,음악 및 오디오,비게임,90078127.4
모든 국가,All countries,2016,내비게이션,비게임,89866425.77
모든 국가,All countries,2021,지도 및 내비게이션,비게임,89542188.46
모든 국가,All countries,2017,내비게이션,비게임,88877765.06
모든 국가,All countries,2014,비즈니스,비게임,88844088.65
모든 국가,All countries,2022,지도 및 내비게이션,비게임,87904910.71
