Country,Country code,Genre,Demographics (Age),%
미국,USA,RMG,55세 이상,0.102
미국,USA,이커머스,18-24세,0.079
미국,USA,이커머스,25-34세,0.297
미국,USA,이커머스,35-44세,0.308
미국,USA,이커머스,45-54세,0.178
미국,USA,이커머스,55세 이상,0.139
미국,USA,주문형,18-24세,0.216
미국,USA,주문형,25-34세,0.316
미국,USA,주문형,35-44세,0.236
미국,USA,주문형,45-54세,0.149
미국,USA,주문형,55세 이상,0.084
미국,USA,여행,18-24세,0.045
미국,USA,여행,25-34세,0.282
미국,USA,여행,35-44세,0.316
미국,USA,여행,45-54세,0.226
미국,USA,여행,55세 이상,0.131
미국,USA,금융,18-24세,0.177
미국,USA,금융,25-34세,0.395
미국,USA,금융,35-44세,0.221
미국,USA,금융,45-54세,0.12
미국,USA,금융,55세 이상,0.087
미국,USA,엔터테인먼트,18-24세,0.381
미국,USA,엔터테인먼트,25-34세,0.292
미국,USA,엔터테인먼트,35-44세,0.135
미국,USA,엔터테인먼트,45-54세,0.102
미국,USA,엔터테인먼트,55세 이상,0.089
미국,USA,소셜,18-24세,0.391
미국,USA,소셜,25-34세,0.325
미국,USA,소셜,35-44세,0.128
미국,USA,소셜,45-54세,0.072
미국,USA,소셜,55세 이상,0.084
베트남,VNM,RMG,18-24세,0.062
베트남,VNM,RMG,25-34세,0.523
베트남,VNM,RMG,35-44세,0.257
베트남,VNM,RMG,45-54세,0.104
베트남,VNM,RMG,55세 이상,0.055
베트남,VNM,이커머스,18-24세,0.236
베트남,VNM,이커머스,25-34세,0.476
베트남,VNM,이커머스,35-44세,0.207
베트남,VNM,이커머스,45-54세,0.075
베트남,VNM,이커머스,55세 이상,0.006
베트남,VNM,주문형,18-24세,0.191
베트남,VNM,주문형,25-34세,0.502
베트남,VNM,주문형,35-44세,0.202
베트남,VNM,주문형,45-54세,0.077
베트남,VNM,주문형,55세 이상,0.028
베트남,VNM,여행,18-24세,0.033
베트남,VNM,여행,25-34세,0.576
베트남,VNM,여행,35-44세,0.274
베트남,VNM,여행,45-54세,0.109
베트남,VNM,여행,55세 이상,0.009
베트남,VNM,금융,18-24세,0.037
베트남,VNM,금융,25-34세,0.392
베트남,VNM,금융,35-44세,0.264
베트남,VNM,금융,45-54세,0.302
베트남,VNM,금융,55세 이상,0.005
베트남,VNM,엔터테인먼트,18-24세,0.265
베트남,VNM,엔터테인먼트,25-34세,0.606
베트남,VNM,엔터테인먼트,35-44세,0.106
베트남,VNM,엔터테인먼트,45-54세,0.017
베트남,VNM,엔터테인먼트,55세 이상,0.006
베트남,VNM,소셜,18-24세,0.275
베트남,VNM,소셜,25-34세,0.414
베트남,VNM,소셜,35-44세,0.206
베트남,VNM,소셜,45-54세,0.07
베트남,VNM,소셜,55세 이상,0.035
