Country,Country code,Genre,Top subcat for time spent,%
India,IND,Finance,Weather,226
India,IND,Entertainment,Lifestyle,161
India,IND,Social,Social Media,228
Japan,JPN,RMG,Casino Games,653
Japan,JPN,E-Commerce,Lifestyle,1303
Japan,JPN,On Demand,Finance,196
Japan,JPN,Travel,Finance,289
Japan,JPN,Finance,Travel,403
Japan,JPN,Entertainment,Education,117
Japan,JPN,Social,Entertainment,231
South Korea,KOR,RMG,Sports,414
South Korea,KOR,E-Commerce,Lifestyle,628
South Korea,KOR,On Demand,Finance,225
South Korea,KOR,Travel,Sports,321
South Korea,KOR,Finance,Health & Fitness,605
South Korea,KOR,Entertainment,Medical,138
South Korea,KOR,Social,Entertainment,301
Mexico,MEX,RMG,Sports,3537
Mexico,MEX,E-Commerce,Medical,423
Mexico,MEX,On Demand,Medical,248
Mexico,MEX,Travel,Weather,286
Mexico,MEX,Finance,Casino Games,551
Mexico,MEX,Entertainment,Casino Games,151
Mexico,MEX,Social,Social Media,192
U.S.,USA,RMG,Casino Games,1980
U.S.,USA,E-Commerce,Casino Games,787
U.S.,USA,On Demand,Casino Games,332
U.S.,USA,Travel,Casino Games,321
U.S.,USA,Finance,Finance,386
U.S.,USA,Entertainment,Weather,206
U.S.,USA,Social,Graphics & Design,279
Vietnam,VNM,RMG,Casino Games,470
Vietnam,VNM,E-Commerce,Food & Drink,258
Vietnam,VNM,On Demand,Sports,911
Vietnam,VNM,Travel,Sports,355
Vietnam,VNM,Finance,Health & Fitness,530
Vietnam,VNM,Entertainment,Medical,153
Vietnam,VNM,Social,Social Media,189
Australia,AUS,RMG,Finance,143
Australia,AUS,E-Commerce,Medical,448
Australia,AUS,On Demand,Casual Games,365
Australia,AUS,Travel,Weather,70
Australia,AUS,Finance,Books,67
Australia,AUS,Entertainment,Graphics & Design,92
Australia,AUS,Social,Casual Games,202
Brazil,BRA,RMG,Weather,1085
Brazil,BRA,E-Commerce,Food & Drink,186
Brazil,BRA,On Demand,Medical,109
Brazil,BRA,Travel,Food & Drink,119
Brazil,BRA,Finance,Sports,213
Brazil,BRA,Entertainment,Lifestyle,105
Brazil,BRA,Social,Utilities,135
Canada,CAN,RMG,Finance,213
Canada,CAN,E-Commerce,Lifestyle,170
Canada,CAN,On Demand,Medical,202
Canada,CAN,Travel,Medical,136
Canada,CAN,Finance,Finance,55
Canada,CAN,Entertainment,Lifestyle,126
Canada,CAN,Social,Utilities,192
Germany,DEU,RMG,Games / Sports,558
Germany,DEU,E-Commerce,Lifestyle,197
Germany,DEU,On Demand,Shopping,152
Germany,DEU,Travel,Food & Drink,105
Germany,DEU,Finance,News,186
Germany,DEU,Entertainment,Books,109
Germany,DEU,Social,Social Media,372
France,FRA,RMG,News,296
France,FRA,E-Commerce,Lifestyle,255
France,FRA,On Demand,Sports,312
France,FRA,Travel,Business,167
France,FRA,Finance,Sports,252
France,FRA,Entertainment,Books,107
France,FRA,Social,Utilities,263
U.K.,GBR,RMG,Finance,303
U.K.,GBR,E-Commerce,Lifestyle,235
U.K.,GBR,On Demand,Casual Games,134
U.K.,GBR,Travel,Sports,112
U.K.,GBR,Finance,Medical,349
U.K.,GBR,Entertainment,Entertainment,130
U.K.,GBR,Social,Utilities,262
Indonesia,IDN,RMG,Finance,231
Indonesia,IDN,E-Commerce,Weather,183
Indonesia,IDN,On Demand,Health & Fitness,183
Indonesia,IDN,Travel,Sports,195
Indonesia,IDN,Finance,Sports,308
Indonesia,IDN,Entertainment,News,238
Indonesia,IDN,Social,Utilities,188
India,IND,RMG,Finance,168
India,IND,E-Commerce,Lifestyle,200
India,IND,On Demand,Travel,99
India,IND,Travel,Finance,162
India,IND,Finance,Travel,134
India,IND,Entertainment,Books,99
India,IND,Social,Utilities,160
Japan,JPN,RMG,Finance,221
Japan,JPN,E-Commerce,Health & Fitness,337
Japan,JPN,On Demand,Weather,176
Japan,JPN,Travel,Food & Drink,214
Japan,JPN,Finance,Sports,259
Japan,JPN,Entertainment,Graphics & Design,99
Japan,JPN,Social,Social Media,175
