Country,Country code,Quarter,Year,Category,Revenue
India,IND,2017-Q3,2017,Non-Gaming,"18,453,163.84"
Japan,JPN,2017-Q3,2017,Non-Gaming,"322,963,239.42"
South Korea,KOR,2017-Q3,2017,Non-Gaming,"82,543,869.28"
Mexico,MEX,2017-Q3,2017,Non-Gaming,"24,962,874.98"
U.S.,USA,2017-Q3,2017,Non-Gaming,"1,026,274,301.97"
Vietnam,VNM,2017-Q3,2017,Non-Gaming,"2,560,270.42"
Australia,AUS,2017-Q4,2017,Non-Gaming,"67,968,036.34"
Brazil,BRA,2017-Q4,2017,Non-Gaming,"42,429,609.27"
Canada,CAN,2017-Q4,2017,Non-Gaming,"64,984,731.96"
France,FRA,2017-Q4,2017,Non-Gaming,"66,016,002.75"
U.K.,GBR,2017-Q4,2017,Non-Gaming,"119,830,514.80"
Indonesia,IDN,2017-Q4,2017,Non-Gaming,"11,105,266.50"
India,IND,2017-Q4,2017,Non-Gaming,"22,407,015.88"
Japan,JPN,2017-Q4,2017,Non-Gaming,"335,553,931.25"
South Korea,KOR,2017-Q4,2017,Non-Gaming,"88,749,138.41"
Mexico,MEX,2017-Q4,2017,Non-Gaming,"25,120,101.94"
U.S.,USA,2017-Q4,2017,Non-Gaming,"1,145,951,359.96"
Vietnam,VNM,2017-Q4,2017,Non-Gaming,"3,528,793.13"
Brazil,BRA,2018-Q1,2018,Non-Gaming,"52,746,614.46"
Canada,CAN,2018-Q1,2018,Non-Gaming,"75,843,087.90"
Germany,DEU,2018-Q1,2018,Non-Gaming,"85,632,070.68"
France,FRA,2018-Q1,2018,Non-Gaming,"82,223,504.03"
U.K.,GBR,2018-Q1,2018,Non-Gaming,"148,200,701.49"
Indonesia,IDN,2018-Q1,2018,Non-Gaming,"13,092,129.77"
India,IND,2018-Q1,2018,Non-Gaming,"27,652,092.80"
Japan,JPN,2018-Q1,2018,Non-Gaming,"371,098,035.66"
South Korea,KOR,2018-Q1,2018,Non-Gaming,"103,091,764.77"
Mexico,MEX,2018-Q1,2018,Non-Gaming,"30,815,563.13"
U.S.,USA,2018-Q1,2018,Non-Gaming,"1,335,101,023.52"
Vietnam,VNM,2018-Q1,2018,Non-Gaming,"4,391,870.17"
Brazil,BRA,2018-Q2,2018,Non-Gaming,"60,318,429.41"
Canada,CAN,2018-Q2,2018,Non-Gaming,"79,995,698.74"
Germany,DEU,2018-Q2,2018,Non-Gaming,"90,926,259.55"
France,FRA,2018-Q2,2018,Non-Gaming,"84,970,127.49"
Indonesia,IDN,2018-Q2,2018,Non-Gaming,"13,340,200.66"
India,IND,2018-Q2,2018,Non-Gaming,"32,114,202.56"
Japan,JPN,2018-Q2,2018,Non-Gaming,"432,648,019.80"
South Korea,KOR,2018-Q2,2018,Non-Gaming,"112,541,239.25"
Mexico,MEX,2018-Q2,2018,Non-Gaming,"33,434,510.23"
U.S.,USA,2018-Q2,2018,Non-Gaming,"1,489,775,948.04"
Vietnam,VNM,2018-Q2,2018,Non-Gaming,"5,103,832.92"
Australia,AUS,2018-Q3,2018,Non-Gaming,"90,873,188.79"
Brazil,BRA,2018-Q3,2018,Non-Gaming,"65,267,268.95"
Canada,CAN,2018-Q3,2018,Non-Gaming,"90,376,501.98"
Germany,DEU,2018-Q3,2018,Non-Gaming,"99,936,139.20"
France,FRA,2018-Q3,2018,Non-Gaming,"93,922,329.90"
U.K.,GBR,2018-Q3,2018,Non-Gaming,"167,264,538.45"
Indonesia,IDN,2018-Q3,2018,Non-Gaming,"13,745,892.13"
India,IND,2018-Q3,2018,Non-Gaming,"34,291,560.85"
Japan,JPN,2018-Q3,2018,Non-Gaming,"488,520,198.13"
South Korea,KOR,2018-Q3,2018,Non-Gaming,"121,249,705.75"
Mexico,MEX,2018-Q3,2018,Non-Gaming,"37,043,579.40"
U.S.,USA,2018-Q3,2018,Non-Gaming,"1,613,195,381.17"
Vietnam,VNM,2018-Q3,2018,Non-Gaming,"6,200,248.32"
Australia,AUS,2018-Q4,2018,Non-Gaming,"96,215,323.56"
Brazil,BRA,2018-Q4,2018,Non-Gaming,"69,644,533.48"
Canada,CAN,2018-Q4,2018,Non-Gaming,"94,036,119.29"
Germany,DEU,2018-Q4,2018,Non-Gaming,"104,288,951.99"
France,FRA,2018-Q4,2018,Non-Gaming,"94,045,515.64"
U.K.,GBR,2018-Q4,2018,Non-Gaming,"174,677,189.73"
Indonesia,IDN,2018-Q4,2018,Non-Gaming,"14,463,374.58"
India,IND,2018-Q4,2018,Non-Gaming,"36,641,771.32"
Japan,JPN,2018-Q4,2018,Non-Gaming,"543,976,852.99"
South Korea,KOR,2018-Q4,2018,Non-Gaming,"107,558,605.58"
Mexico,MEX,2018-Q4,2018,Non-Gaming,"36,571,504.67"
Vietnam,VNM,2018-Q4,2018,Non-Gaming,"6,746,956.44"
Australia,AUS,2019-Q1,2019,Non-Gaming,"107,405,353.95"
Brazil,BRA,2019-Q1,2019,Non-Gaming,"75,595,163.55"
Canada,CAN,2019-Q1,2019,Non-Gaming,"102,161,790.14"
Germany,DEU,2019-Q1,2019,Non-Gaming,"114,439,166.81"
France,FRA,2019-Q1,2019,Non-Gaming,"101,449,386.13"
U.K.,GBR,2019-Q1,2019,Non-Gaming,"190,064,093.26"
Indonesia,IDN,2019-Q1,2019,Non-Gaming,"17,405,453.46"
India,IND,2019-Q1,2019,Non-Gaming,"39,385,897.81"
Japan,JPN,2019-Q1,2019,Non-Gaming,"562,999,987.61"
South Korea,KOR,2019-Q1,2019,Non-Gaming,"106,475,048.15"
Mexico,MEX,2019-Q1,2019,Non-Gaming,"39,183,432.13"
U.S.,USA,2019-Q1,2019,Non-Gaming,"1,866,955,162.28"
Vietnam,VNM,2019-Q1,2019,Non-Gaming,"7,921,776.56"
Australia,AUS,2019-Q2,2019,Non-Gaming,"106,921,239.40"
Brazil,BRA,2019-Q2,2019,Non-Gaming,"89,416,873.28"
Canada,CAN,2019-Q2,2019,Non-Gaming,"106,450,821.17"
Germany,DEU,2019-Q2,2019,Non-Gaming,"116,458,447.64"
France,FRA,2019-Q2,2019,Non-Gaming,"105,169,755.98"
Indonesia,IDN,2019-Q2,2019,Non-Gaming,"20,152,599.38"
India,IND,2019-Q2,2019,Non-Gaming,"44,473,738.60"
Japan,JPN,2019-Q2,2019,Non-Gaming,"613,898,335.92"
South Korea,KOR,2019-Q2,2019,Non-Gaming,"105,131,318.69"
Mexico,MEX,2019-Q2,2019,Non-Gaming,"44,574,746.83"
Vietnam,VNM,2019-Q2,2019,Non-Gaming,"9,717,622.16"
Brazil,BRA,2019-Q3,2019,Non-Gaming,"98,832,821.48"
Canada,CAN,2019-Q3,2019,Non-Gaming,"124,968,231.93"
Germany,DEU,2019-Q3,2019,Non-Gaming,"124,445,437.51"
France,FRA,2019-Q3,2019,Non-Gaming,"116,285,261.01"
U.K.,GBR,2019-Q3,2019,Non-Gaming,"212,342,783.31"
Indonesia,IDN,2019-Q3,2019,Non-Gaming,"23,986,956.26"
India,IND,2019-Q3,2019,Non-Gaming,"52,563,189.16"
Japan,JPN,2019-Q3,2019,Non-Gaming,"690,851,036.54"
South Korea,KOR,2019-Q3,2019,Non-Gaming,"118,031,904.17"
Mexico,MEX,2019-Q3,2019,Non-Gaming,"46,512,553.67"
U.S.,USA,2019-Q3,2019,Non-Gaming,"2,062,354,761.00"
Vietnam,VNM,2019-Q3,2019,Non-Gaming,"11,240,468.25"
Australia,AUS,2019-Q4,2019,Non-Gaming,"125,561,645.76"
Brazil,BRA,2019-Q4,2019,Non-Gaming,"101,706,968.37"
Canada,CAN,2019-Q4,2019,Non-Gaming,"138,742,821.17"
Germany,DEU,2019-Q4,2019,Non-Gaming,"137,989,972.74"
France,FRA,2019-Q4,2019,Non-Gaming,"125,889,217.22"
U.K.,GBR,2019-Q4,2019,Non-Gaming,"237,235,014.44"
Indonesia,IDN,2019-Q4,2019,Non-Gaming,"28,689,859.97"
India,IND,2019-Q4,2019,Non-Gaming,"56,270,449.52"
Japan,JPN,2019-Q4,2019,Non-Gaming,"722,047,917.96"
South Korea,KOR,2019-Q4,2019,Non-Gaming,"129,037,842.06"
Mexico,MEX,2019-Q4,2019,Non-Gaming,"45,769,163.72"
U.S.,USA,2019-Q4,2019,Non-Gaming,"2,074,025,205.01"
Vietnam,VNM,2019-Q4,2019,Non-Gaming,"11,085,000.13"
Australia,AUS,2020-Q1,2020,Non-Gaming,"130,476,811.21"
Brazil,BRA,2020-Q1,2020,Non-Gaming,"99,910,764.49"
Canada,CAN,2020-Q1,2020,Non-Gaming,"150,800,735.02"
Germany,DEU,2020-Q1,2020,Non-Gaming,"148,010,237.82"
France,FRA,2020-Q1,2020,Non-Gaming,"132,794,783.80"
U.K.,GBR,2020-Q1,2020,Non-Gaming,"246,218,367.33"
Indonesia,IDN,2020-Q1,2020,Non-Gaming,"32,198,430.39"
India,IND,2020-Q1,2020,Non-Gaming,"58,016,919.08"
Japan,JPN,2020-Q1,2020,Non-Gaming,"752,505,338.13"
South Korea,KOR,2020-Q1,2020,Non-Gaming,"137,406,383.01"
Mexico,MEX,2020-Q1,2020,Non-Gaming,"49,332,555.92"
U.S.,USA,2020-Q1,2020,Non-Gaming,"2,237,131,216.99"
Vietnam,VNM,2020-Q1,2020,Non-Gaming,"13,120,471.65"
Australia,AUS,2020-Q2,2020,Non-Gaming,"138,984,634.24"
Brazil,BRA,2020-Q2,2020,Non-Gaming,"87,744,484.42"
Canada,CAN,2020-Q2,2020,Non-Gaming,"172,884,439.95"
Germany,DEU,2020-Q2,2020,Non-Gaming,"169,959,506.91"
France,FRA,2020-Q2,2020,Non-Gaming,"148,799,825.34"
U.K.,GBR,2020-Q2,2020,Non-Gaming,"293,750,860.83"
Indonesia,IDN,2020-Q2,2020,Non-Gaming,"31,749,547.62"
India,IND,2020-Q2,2020,Non-Gaming,"74,715,759.93"
Japan,JPN,2020-Q2,2020,Non-Gaming,"932,318,521.00"
South Korea,KOR,2020-Q2,2020,Non-Gaming,"141,702,676.97"
Mexico,MEX,2020-Q2,2020,Non-Gaming,"47,205,567.99"
U.S.,USA,2020-Q2,2020,Non-Gaming,"2,552,716,788.95"
Vietnam,VNM,2020-Q2,2020,Non-Gaming,"14,481,825.05"
Australia,AUS,2020-Q3,2020,Non-Gaming,"177,715,228.76"
Brazil,BRA,2020-Q3,2020,Non-Gaming,"98,019,081.31"
Canada,CAN,2020-Q3,2020,Non-Gaming,"191,771,212.27"
Germany,DEU,2020-Q3,2020,Non-Gaming,"196,974,324.74"
France,FRA,2020-Q3,2020,Non-Gaming,"160,637,185.04"
U.K.,GBR,2020-Q3,2020,Non-Gaming,"314,505,729.48"
Indonesia,IDN,2020-Q3,2020,Non-Gaming,"33,843,807.23"
India,IND,2020-Q3,2020,Non-Gaming,"74,599,431.00"
Japan,JPN,2020-Q3,2020,Non-Gaming,"1,086,737,973.00"
South Korea,KOR,2020-Q3,2020,Non-Gaming,"165,674,000.74"
Mexico,MEX,2020-Q3,2020,Non-Gaming,"48,651,535.08"
U.S.,USA,2020-Q3,2020,Non-Gaming,"2,869,708,064.38"
Vietnam,VNM,2020-Q3,2020,Non-Gaming,"15,946,352.25"
Australia,AUS,2020-Q4,2020,Non-Gaming,"185,214,118.81"
Brazil,BRA,2020-Q4,2020,Non-Gaming,"93,255,757.83"
Canada,CAN,2020-Q4,2020,Non-Gaming,"206,751,892.41"
Germany,DEU,2020-Q4,2020,Non-Gaming,"219,660,925.21"
France,FRA,2020-Q4,2020,Non-Gaming,"171,466,652.61"
U.K.,GBR,2020-Q4,2020,Non-Gaming,"327,521,654.22"
Indonesia,IDN,2020-Q4,2020,Non-Gaming,"36,606,395.99"
India,IND,2020-Q4,2020,Non-Gaming,"69,564,662.64"
