Country,Country code,Category,hour_of_day,value
澳大利亚,AUS,旅行与导航,8,
澳大利亚,AUS,实用与效率,8,1.272
澳大利亚,AUS,天气,8,
澳大利亚,AUS,艺术与设计,9,
澳大利亚,AUS,汽车,9,
澳大利亚,AUS,图书与工具书,9,0.1504
澳大利亚,AUS,商业,9,
澳大利亚,AUS,教育,9,0.0171
澳大利亚,AUS,娱乐,9,0.7076
澳大利亚,AUS,家庭与关系,9,
澳大利亚,AUS,金融,9,
澳大利亚,AUS,美食佳饮,9,
澳大利亚,AUS,生成式 AI,9,-0.429
澳大利亚,AUS,图形与设计,9,
澳大利亚,AUS,健康与健身,9,0.2493
澳大利亚,AUS,生活方式,9,
澳大利亚,AUS,医疗,9,
澳大利亚,AUS,音乐,9,
澳大利亚,AUS,新闻与杂志,9,
澳大利亚,AUS,照片和视频,9,-0.348
澳大利亚,AUS,生产力工具,9,
澳大利亚,AUS,房地产,9,
澳大利亚,AUS,真金游戏,9,
澳大利亚,AUS,购物,9,0.2855
澳大利亚,AUS,社交,9,
澳大利亚,AUS,社交媒体,9,0.1599
澳大利亚,AUS,体育,9,0.069
澳大利亚,AUS,工具,9,
澳大利亚,AUS,旅游,9,1.1183
澳大利亚,AUS,旅行与导航,9,
澳大利亚,AUS,实用与效率,9,0.8294
澳大利亚,AUS,天气,9,
澳大利亚,AUS,艺术与设计,10,
澳大利亚,AUS,汽车,10,
澳大利亚,AUS,图书与工具书,10,0.0353
澳大利亚,AUS,商业,10,
澳大利亚,AUS,教育,10,-0.1122
澳大利亚,AUS,娱乐,10,0.6693
澳大利亚,AUS,家庭与关系,10,
澳大利亚,AUS,金融,10,
澳大利亚,AUS,美食佳饮,10,
澳大利亚,AUS,生成式 AI,10,-0.2611
澳大利亚,AUS,图形与设计,10,
澳大利亚,AUS,健康与健身,10,0.2158
澳大利亚,AUS,生活方式,10,
澳大利亚,AUS,医疗,10,
澳大利亚,AUS,音乐,10,
澳大利亚,AUS,新闻与杂志,10,
澳大利亚,AUS,照片和视频,10,-0.0752
澳大利亚,AUS,生产力工具,10,
澳大利亚,AUS,房地产,10,
澳大利亚,AUS,真金游戏,10,
澳大利亚,AUS,购物,10,0.4646
澳大利亚,AUS,社交,10,
澳大利亚,AUS,社交媒体,10,0.2344
澳大利亚,AUS,体育,10,-0.0141
澳大利亚,AUS,工具,10,
澳大利亚,AUS,旅游,10,1.2206
澳大利亚,AUS,旅行与导航,10,
澳大利亚,AUS,实用与效率,10,0.5387
澳大利亚,AUS,天气,10,
澳大利亚,AUS,艺术与设计,11,
澳大利亚,AUS,汽车,11,
澳大利亚,AUS,图书与工具书,11,0.0601
澳大利亚,AUS,商业,11,
澳大利亚,AUS,教育,11,-0.1822
澳大利亚,AUS,娱乐,11,0.5169
澳大利亚,AUS,家庭与关系,11,
澳大利亚,AUS,金融,11,
澳大利亚,AUS,美食佳饮,11,
澳大利亚,AUS,生成式 AI,11,-0.1511
澳大利亚,AUS,图形与设计,11,
澳大利亚,AUS,健康与健身,11,0.2896
澳大利亚,AUS,生活方式,11,
澳大利亚,AUS,医疗,11,
澳大利亚,AUS,音乐,11,
澳大利亚,AUS,新闻与杂志,11,
澳大利亚,AUS,照片和视频,11,0.1946
澳大利亚,AUS,生产力工具,11,
澳大利亚,AUS,房地产,11,
澳大利亚,AUS,真金游戏,11,
澳大利亚,AUS,购物,11,0.4965
澳大利亚,AUS,社交,11,
澳大利亚,AUS,社交媒体,11,0.2634
澳大利亚,AUS,体育,11,-0.192
澳大利亚,AUS,工具,11,
澳大利亚,AUS,旅游,11,1.0601
澳大利亚,AUS,旅行与导航,11,
澳大利亚,AUS,实用与效率,11,0.4657
澳大利亚,AUS,天气,11,
澳大利亚,AUS,艺术与设计,12,
澳大利亚,AUS,汽车,12,
澳大利亚,AUS,图书与工具书,12,0.0603
澳大利亚,AUS,商业,12,
澳大利亚,AUS,教育,12,-0.3106
澳大利亚,AUS,娱乐,12,0.373
澳大利亚,AUS,家庭与关系,12,
澳大利亚,AUS,金融,12,
澳大利亚,AUS,美食佳饮,12,
澳大利亚,AUS,生成式 AI,12,-0.1081
澳大利亚,AUS,图形与设计,12,
澳大利亚,AUS,健康与健身,12,0.6795
澳大利亚,AUS,生活方式,12,
澳大利亚,AUS,医疗,12,
澳大利亚,AUS,音乐,12,
澳大利亚,AUS,新闻与杂志,12,
澳大利亚,AUS,照片和视频,12,0.2163
澳大利亚,AUS,生产力工具,12,
澳大利亚,AUS,房地产,12,
澳大利亚,AUS,真金游戏,12,
澳大利亚,AUS,购物,12,0.6659
澳大利亚,AUS,社交,12,
澳大利亚,AUS,社交媒体,12,0.3785
澳大利亚,AUS,体育,12,-0.3717
澳大利亚,AUS,工具,12,
澳大利亚,AUS,旅游,12,0.7051
澳大利亚,AUS,旅行与导航,12,
澳大利亚,AUS,实用与效率,12,0.2863
澳大利亚,AUS,天气,12,
澳大利亚,AUS,艺术与设计,13,
澳大利亚,AUS,汽车,13,
澳大利亚,AUS,图书与工具书,13,0.0908
澳大利亚,AUS,商业,13,
澳大利亚,AUS,教育,13,-0.3548
澳大利亚,AUS,娱乐,13,0.3244
澳大利亚,AUS,家庭与关系,13,
澳大利亚,AUS,金融,13,
澳大利亚,AUS,美食佳饮,13,
澳大利亚,AUS,生成式 AI,13,0.0072
澳大利亚,AUS,图形与设计,13,
澳大利亚,AUS,健康与健身,13,0.8143
澳大利亚,AUS,生活方式,13,
澳大利亚,AUS,医疗,13,
澳大利亚,AUS,音乐,13,
澳大利亚,AUS,新闻与杂志,13,
澳大利亚,AUS,照片和视频,13,0.4251
澳大利亚,AUS,生产力工具,13,
澳大利亚,AUS,房地产,13,
澳大利亚,AUS,真金游戏,13,
澳大利亚,AUS,购物,13,0.5451
澳大利亚,AUS,社交,13,
澳大利亚,AUS,社交媒体,13,0.4216
澳大利亚,AUS,体育,13,-0.4373
澳大利亚,AUS,工具,13,
澳大利亚,AUS,旅游,13,0.4671
澳大利亚,AUS,旅行与导航,13,
澳大利亚,AUS,实用与效率,13,0.2225
澳大利亚,AUS,天气,13,
澳大利亚,AUS,艺术与设计,14,
澳大利亚,AUS,汽车,14,
澳大利亚,AUS,图书与工具书,14,0.1343
澳大利亚,AUS,商业,14,
澳大利亚,AUS,教育,14,-0.3288
澳大利亚,AUS,娱乐,14,0.3878
澳大利亚,AUS,家庭与关系,14,
澳大利亚,AUS,金融,14,
澳大利亚,AUS,美食佳饮,14,
澳大利亚,AUS,生成式 AI,14,0.116
澳大利亚,AUS,图形与设计,14,
澳大利亚,AUS,健康与健身,14,0.4189
澳大利亚,AUS,生活方式,14,
澳大利亚,AUS,医疗,14,
澳大利亚,AUS,音乐,14,
澳大利亚,AUS,新闻与杂志,14,
澳大利亚,AUS,照片和视频,14,0.4644
澳大利亚,AUS,生产力工具,14,
澳大利亚,AUS,房地产,14,
澳大利亚,AUS,真金游戏,14,
澳大利亚,AUS,购物,14,0.5368
澳大利亚,AUS,社交,14,
澳大利亚,AUS,社交媒体,14,0.4564
澳大利亚,AUS,体育,14,-0.2572
澳大利亚,AUS,工具,14,
澳大利亚,AUS,旅游,14,0.4185
澳大利亚,AUS,旅行与导航,14,
澳大利亚,AUS,实用与效率,14,0.1694
澳大利亚,AUS,天气,14,
澳大利亚,AUS,艺术与设计,15,
澳大利亚,AUS,汽车,15,
澳大利亚,AUS,图书与工具书,15,0.1663
澳大利亚,AUS,商业,15,
澳大利亚,AUS,教育,15,-0.1768
澳大利亚,AUS,娱乐,15,0.451
澳大利亚,AUS,家庭与关系,15,
澳大利亚,AUS,金融,15,
澳大利亚,AUS,美食佳饮,15,
澳大利亚,AUS,生成式 AI,15,0.5565
澳大利亚,AUS,图形与设计,15,
澳大利亚,AUS,健康与健身,15,0.3533
澳大利亚,AUS,生活方式,15,
澳大利亚,AUS,医疗,15,
澳大利亚,AUS,音乐,15,
澳大利亚,AUS,新闻与杂志,15,
澳大利亚,AUS,照片和视频,15,0.7455
澳大利亚,AUS,生产力工具,15,
澳大利亚,AUS,房地产,15,
澳大利亚,AUS,真金游戏,15,
澳大利亚,AUS,购物,15,0.6159
澳大利亚,AUS,社交,15,
澳大利亚,AUS,社交媒体,15,0.5704
澳大利亚,AUS,体育,15,0.1414
澳大利亚,AUS,工具,15,
澳大利亚,AUS,旅游,15,0.7185
澳大利亚,AUS,旅行与导航,15,
澳大利亚,AUS,实用与效率,15,0.3701
澳大利亚,AUS,天气,15,
澳大利亚,AUS,艺术与设计,16,
澳大利亚,AUS,汽车,16,
澳大利亚,AUS,图书与工具书,16,0.3542
澳大利亚,AUS,商业,16,
澳大利亚,AUS,教育,16,0.0588
澳大利亚,AUS,娱乐,16,0.6536
澳大利亚,AUS,家庭与关系,16,
澳大利亚,AUS,金融,16,
澳大利亚,AUS,美食佳饮,16,
澳大利亚,AUS,生成式 AI,16,0.8419
澳大利亚,AUS,图形与设计,16,
澳大利亚,AUS,健康与健身,16,0.3991
澳大利亚,AUS,生活方式,16,
澳大利亚,AUS,医疗,16,
澳大利亚,AUS,音乐,16,
澳大利亚,AUS,新闻与杂志,16,
澳大利亚,AUS,照片和视频,16,0.9068
澳大利亚,AUS,生产力工具,16,
澳大利亚,AUS,房地产,16,
澳大利亚,AUS,真金游戏,16,
澳大利亚,AUS,购物,16,0.6145
澳大利亚,AUS,社交,16,
澳大利亚,AUS,社交媒体,16,0.6337
澳大利亚,AUS,体育,16,0.7759
澳大利亚,AUS,工具,16,
澳大利亚,AUS,旅游,16,0.6737
澳大利亚,AUS,旅行与导航,16,
澳大利亚,AUS,实用与效率,16,0.4424
澳大利亚,AUS,天气,16,
澳大利亚,AUS,艺术与设计,17,
澳大利亚,AUS,汽车,17,
澳大利亚,AUS,图书与工具书,17,0.418
澳大利亚,AUS,商业,17,
澳大利亚,AUS,教育,17,0.1883
澳大利亚,AUS,娱乐,17,0.6825
澳大利亚,AUS,家庭与关系,17,
澳大利亚,AUS,金融,17,
澳大利亚,AUS,美食佳饮,17,
澳大利亚,AUS,生成式 AI,17,0.8647
澳大利亚,AUS,图形与设计,17,
澳大利亚,AUS,健康与健身,17,0.7684
澳大利亚,AUS,生活方式,17,
澳大利亚,AUS,医疗,17,
澳大利亚,AUS,音乐,17,
澳大利亚,AUS,新闻与杂志,17,
澳大利亚,AUS,照片和视频,17,1.0267
澳大利亚,AUS,生产力工具,17,
澳大利亚,AUS,房地产,17,
澳大利亚,AUS,真金游戏,17,
澳大利亚,AUS,购物,17,0.5937
澳大利亚,AUS,社交,17,
澳大利亚,AUS,社交媒体,17,0.5688
澳大利亚,AUS,体育,17,1.0568
澳大利亚,AUS,工具,17,
澳大利亚,AUS,旅游,17,0.6993
澳大利亚,AUS,旅行与导航,17,
澳大利亚,AUS,实用与效率,17,0.5095
澳大利亚,AUS,天气,17,
澳大利亚,AUS,艺术与设计,18,
澳大利亚,AUS,汽车,18,
澳大利亚,AUS,图书与工具书,18,0.4185
澳大利亚,AUS,商业,18,
澳大利亚,AUS,教育,18,0.3738
澳大利亚,AUS,娱乐,18,0.6477
澳大利亚,AUS,家庭与关系,18,
澳大利亚,AUS,金融,18,
澳大利亚,AUS,美食佳饮,18,
澳大利亚,AUS,生成式 AI,18,0.8651
澳大利亚,AUS,图形与设计,18,
澳大利亚,AUS,健康与健身,18,1.4627
澳大利亚,AUS,生活方式,18,
澳大利亚,AUS,医疗,18,
澳大利亚,AUS,音乐,18,
澳大利亚,AUS,新闻与杂志,18,
澳大利亚,AUS,照片和视频,18,1.0628
澳大利亚,AUS,生产力工具,18,
澳大利亚,AUS,房地产,18,
澳大利亚,AUS,真金游戏,18,
澳大利亚,AUS,购物,18,0.8117
澳大利亚,AUS,社交,18,
澳大利亚,AUS,社交媒体,18,0.5714
澳大利亚,AUS,体育,18,1.2178
澳大利亚,AUS,工具,18,
澳大利亚,AUS,旅游,18,0.4812
澳大利亚,AUS,旅行与导航,18,
澳大利亚,AUS,实用与效率,18,0.5742
澳大利亚,AUS,天气,18,
澳大利亚,AUS,艺术与设计,19,
澳大利亚,AUS,汽车,19,
澳大利亚,AUS,图书与工具书,19,0.6702
澳大利亚,AUS,商业,19,
澳大利亚,AUS,教育,19,0.6889
澳大利亚,AUS,娱乐,19,0.7854
澳大利亚,AUS,家庭与关系,19,
澳大利亚,AUS,金融,19,
澳大利亚,AUS,美食佳饮,19,
澳大利亚,AUS,生成式 AI,19,1.0604
澳大利亚,AUS,图形与设计,19,
澳大利亚,AUS,健康与健身,19,1.6789
澳大利亚,AUS,生活方式,19,
澳大利亚,AUS,医疗,19,
澳大利亚,AUS,音乐,19,
澳大利亚,AUS,新闻与杂志,19,
澳大利亚,AUS,照片和视频,19,1.3388
澳大利亚,AUS,生产力工具,19,
澳大利亚,AUS,房地产,19,
澳大利亚,AUS,真金游戏,19,
澳大利亚,AUS,购物,19,1.2893
澳大利亚,AUS,社交,19,
澳大利亚,AUS,社交媒体,19,0.8467
澳大利亚,AUS,体育,19,1.4965
澳大利亚,AUS,工具,19,
澳大利亚,AUS,旅游,19,0.3955
澳大利亚,AUS,旅行与导航,19,
澳大利亚,AUS,实用与效率,19,0.6695
澳大利亚,AUS,天气,19,
澳大利亚,AUS,艺术与设计,20,
澳大利亚,AUS,汽车,20,
澳大利亚,AUS,图书与工具书,20,1.3786
澳大利亚,AUS,商业,20,
澳大利亚,AUS,教育,20,1.2567
澳大利亚,AUS,娱乐,20,1.0471
澳大利亚,AUS,家庭与关系,20,
澳大利亚,AUS,金融,20,
澳大利亚,AUS,美食佳饮,20,
澳大利亚,AUS,生成式 AI,20,1.4475
澳大利亚,AUS,图形与设计,20,
澳大利亚,AUS,健康与健身,20,1.315
澳大利亚,AUS,生活方式,20,
澳大利亚,AUS,医疗,20,
澳大利亚,AUS,音乐,20,
澳大利亚,AUS,新闻与杂志,20,
澳大利亚,AUS,照片和视频,20,1.3471
澳大利亚,AUS,生产力工具,20,
澳大利亚,AUS,房地产,20,
澳大利亚,AUS,真金游戏,20,
澳大利亚,AUS,购物,20,1.6434
澳大利亚,AUS,社交,20,
澳大利亚,AUS,社交媒体,20,1.2685
澳大利亚,AUS,体育,20,1.6688
澳大利亚,AUS,工具,20,
澳大利亚,AUS,旅游,20,0.3123
澳大利亚,AUS,旅行与导航,20,
澳大利亚,AUS,实用与效率,20,0.592
澳大利亚,AUS,天气,20,
澳大利亚,AUS,艺术与设计,21,
澳大利亚,AUS,汽车,21,
澳大利亚,AUS,图书与工具书,21,1.6673
澳大利亚,AUS,商业,21,
澳大利亚,AUS,教育,21,2.0284
澳大利亚,AUS,娱乐,21,1.1035
澳大利亚,AUS,家庭与关系,21,
澳大利亚,AUS,金融,21,
澳大利亚,AUS,美食佳饮,21,
澳大利亚,AUS,生成式 AI,21,1.6967
澳大利亚,AUS,图形与设计,21,
澳大利亚,AUS,健康与健身,21,0.7808
澳大利亚,AUS,生活方式,21,
澳大利亚,AUS,医疗,21,
澳大利亚,AUS,音乐,21,
澳大利亚,AUS,新闻与杂志,21,
澳大利亚,AUS,照片和视频,21,1.2427
澳大利亚,AUS,生产力工具,21,
澳大利亚,AUS,房地产,21,
澳大利亚,AUS,真金游戏,21,
澳大利亚,AUS,购物,21,1.2629
澳大利亚,AUS,社交,21,
澳大利亚,AUS,社交媒体,21,1.4367
澳大利亚,AUS,体育,21,1.3545
澳大利亚,AUS,工具,21,
澳大利亚,AUS,旅游,21,0.2976
澳大利亚,AUS,旅行与导航,21,
澳大利亚,AUS,实用与效率,21,0.4115
澳大利亚,AUS,天气,21,
澳大利亚,AUS,艺术与设计,22,
澳大利亚,AUS,汽车,22,
澳大利亚,AUS,图书与工具书,22,1.7162
澳大利亚,AUS,商业,22,
澳大利亚,AUS,教育,22,2.5492
澳大利亚,AUS,娱乐,22,0.5697
澳大利亚,AUS,家庭与关系,22,
澳大利亚,AUS,金融,22,
澳大利亚,AUS,美食佳饮,22,
澳大利亚,AUS,生成式 AI,22,1.4874
澳大利亚,AUS,图形与设计,22,
澳大利亚,AUS,健康与健身,22,0.118
澳大利亚,AUS,生活方式,22,
澳大利亚,AUS,医疗,22,
澳大利亚,AUS,音乐,22,
澳大利亚,AUS,新闻与杂志,22,
澳大利亚,AUS,照片和视频,22,1.005
澳大利亚,AUS,生产力工具,22,
澳大利亚,AUS,房地产,22,
澳大利亚,AUS,真金游戏,22,
