Country,Country code,Category,hour_of_day,value
Australia,AUS,Medical,11,
Australia,AUS,Music,11,
Australia,AUS,News & Magazines,11,
Australia,AUS,Photo & Video,11,0.1946
Australia,AUS,Productivity,11,
Australia,AUS,Real Estate,11,
Australia,AUS,RMG,11,
Australia,AUS,Shopping,11,0.4965
Australia,AUS,Social,11,
Australia,AUS,Social Media,11,0.2634
Australia,AUS,Sports,11,-0.192
Australia,AUS,Tools,11,
Australia,AUS,Travel,11,1.0601
Australia,AUS,Travel & Navigation,11,
Australia,AUS,Utility & Productivity,11,0.4657
Australia,AUS,Weather,11,
Australia,AUS,Art & Design,12,
Australia,AUS,Automotive,12,
Australia,AUS,Books & Reference,12,0.0603
Australia,AUS,Business,12,
Australia,AUS,Education,12,-0.3106
Australia,AUS,Entertainment,12,0.373
Australia,AUS,Family & Relationships,12,
Australia,AUS,Finance,12,
Australia,AUS,Food & Drink,12,
Australia,AUS,Generative AI,12,-0.1081
Australia,AUS,Graphic & Design,12,
Australia,AUS,Health & Fitness,12,0.6795
Australia,AUS,Lifestyle,12,
Australia,AUS,Medical,12,
Australia,AUS,Music,12,
Australia,AUS,News & Magazines,12,
Australia,AUS,Photo & Video,12,0.2163
Australia,AUS,Productivity,12,
Australia,AUS,Real Estate,12,
Australia,AUS,RMG,12,
Australia,AUS,Shopping,12,0.6659
Australia,AUS,Social,12,
Australia,AUS,Social Media,12,0.3785
Australia,AUS,Sports,12,-0.3717
Australia,AUS,Tools,12,
Australia,AUS,Travel,12,0.7051
Australia,AUS,Travel & Navigation,12,
Australia,AUS,Utility & Productivity,12,0.2863
Australia,AUS,Weather,12,
Australia,AUS,Art & Design,13,
Australia,AUS,Automotive,13,
Australia,AUS,Books & Reference,13,0.0908
Australia,AUS,Business,13,
Australia,AUS,Education,13,-0.3548
Australia,AUS,Entertainment,13,0.3244
Australia,AUS,Family & Relationships,13,
Australia,AUS,Finance,13,
Australia,AUS,Food & Drink,13,
Australia,AUS,Generative AI,13,0.0072
Australia,AUS,Graphic & Design,13,
Australia,AUS,Health & Fitness,13,0.8143
Australia,AUS,Lifestyle,13,
Australia,AUS,Medical,13,
Australia,AUS,Music,13,
Australia,AUS,News & Magazines,13,
Australia,AUS,Photo & Video,13,0.4251
Australia,AUS,Productivity,13,
Australia,AUS,Real Estate,13,
Australia,AUS,RMG,13,
Australia,AUS,Shopping,13,0.5451
Australia,AUS,Social,13,
Australia,AUS,Social Media,13,0.4216
Australia,AUS,Sports,13,-0.4373
Australia,AUS,Tools,13,
Australia,AUS,Travel,13,0.4671
Australia,AUS,Travel & Navigation,13,
Australia,AUS,Utility & Productivity,13,0.2225
Australia,AUS,Weather,13,
Australia,AUS,Art & Design,14,
Australia,AUS,Automotive,14,
Australia,AUS,Books & Reference,14,0.1343
Australia,AUS,Business,14,
Australia,AUS,Education,14,-0.3288
Australia,AUS,Entertainment,14,0.3878
Australia,AUS,Family & Relationships,14,
Australia,AUS,Finance,14,
Australia,AUS,Food & Drink,14,
Australia,AUS,Generative AI,14,0.116
Australia,AUS,Graphic & Design,14,
Australia,AUS,Health & Fitness,14,0.4189
Australia,AUS,Lifestyle,14,
Australia,AUS,Medical,14,
Australia,AUS,Music,14,
Australia,AUS,News & Magazines,14,
Australia,AUS,Photo & Video,14,0.4644
Australia,AUS,Productivity,14,
Australia,AUS,Real Estate,14,
Australia,AUS,RMG,14,
Australia,AUS,Shopping,14,0.5368
Australia,AUS,Social,14,
Australia,AUS,Social Media,14,0.4564
Australia,AUS,Sports,14,-0.2572
Australia,AUS,Tools,14,
Australia,AUS,Travel,14,0.4185
Australia,AUS,Travel & Navigation,14,
Australia,AUS,Utility & Productivity,14,0.1694
Australia,AUS,Weather,14,
Australia,AUS,Art & Design,15,
Australia,AUS,Automotive,15,
Australia,AUS,Books & Reference,15,0.1663
Australia,AUS,Business,15,
Australia,AUS,Education,15,-0.1768
Australia,AUS,Entertainment,15,0.451
Australia,AUS,Family & Relationships,15,
Australia,AUS,Finance,15,
Australia,AUS,Food & Drink,15,
Australia,AUS,Generative AI,15,0.5565
Australia,AUS,Graphic & Design,15,
Australia,AUS,Health & Fitness,15,0.3533
Australia,AUS,Lifestyle,15,
Australia,AUS,Medical,15,
Australia,AUS,Music,15,
Australia,AUS,News & Magazines,15,
Australia,AUS,Photo & Video,15,0.7455
Australia,AUS,Productivity,15,
Australia,AUS,Real Estate,15,
Australia,AUS,RMG,15,
Australia,AUS,Shopping,15,0.6159
Australia,AUS,Social,15,
Australia,AUS,Social Media,15,0.5704
Australia,AUS,Sports,15,0.1414
Australia,AUS,Tools,15,
Australia,AUS,Travel,15,0.7185
Australia,AUS,Travel & Navigation,15,
Australia,AUS,Utility & Productivity,15,0.3701
Australia,AUS,Weather,15,
Australia,AUS,Art & Design,16,
Australia,AUS,Automotive,16,
Australia,AUS,Books & Reference,16,0.3542
Australia,AUS,Business,16,
Australia,AUS,Education,16,0.0588
Australia,AUS,Entertainment,16,0.6536
Australia,AUS,Family & Relationships,16,
Australia,AUS,Finance,16,
Australia,AUS,Food & Drink,16,
Australia,AUS,Generative AI,16,0.8419
Australia,AUS,Graphic & Design,16,
Australia,AUS,Health & Fitness,16,0.3991
Australia,AUS,Lifestyle,16,
Australia,AUS,Medical,16,
Australia,AUS,Music,16,
Australia,AUS,News & Magazines,16,
Australia,AUS,Photo & Video,16,0.9068
Australia,AUS,Productivity,16,
Australia,AUS,Real Estate,16,
Australia,AUS,RMG,16,
Australia,AUS,Shopping,16,0.6145
Australia,AUS,Social,16,
Australia,AUS,Social Media,16,0.6337
Australia,AUS,Sports,16,0.7759
Australia,AUS,Tools,16,
Australia,AUS,Travel,16,0.6737
Australia,AUS,Travel & Navigation,16,
Australia,AUS,Utility & Productivity,16,0.4424
Australia,AUS,Weather,16,
Australia,AUS,Art & Design,17,
Australia,AUS,Automotive,17,
Australia,AUS,Books & Reference,17,0.418
Australia,AUS,Business,17,
Australia,AUS,Education,17,0.1883
Australia,AUS,Entertainment,17,0.6825
Australia,AUS,Family & Relationships,17,
Australia,AUS,Finance,17,
Australia,AUS,Food & Drink,17,
Australia,AUS,Generative AI,17,0.8647
Australia,AUS,Graphic & Design,17,
Australia,AUS,Health & Fitness,17,0.7684
Australia,AUS,Lifestyle,17,
Australia,AUS,Medical,17,
Australia,AUS,Music,17,
Australia,AUS,News & Magazines,17,
Australia,AUS,Photo & Video,17,1.0267
Australia,AUS,Productivity,17,
Australia,AUS,Real Estate,17,
Australia,AUS,RMG,17,
Australia,AUS,Shopping,17,0.5937
Australia,AUS,Social,17,
Australia,AUS,Social Media,17,0.5688
Australia,AUS,Sports,17,1.0568
Australia,AUS,Tools,17,
Australia,AUS,Travel,17,0.6993
Australia,AUS,Travel & Navigation,17,
Australia,AUS,Utility & Productivity,17,0.5095
Australia,AUS,Weather,17,
Australia,AUS,Art & Design,18,
Australia,AUS,Automotive,18,
Australia,AUS,Books & Reference,18,0.4185
Australia,AUS,Business,18,
Australia,AUS,Education,18,0.3738
Australia,AUS,Entertainment,18,0.6477
Australia,AUS,Family & Relationships,18,
Australia,AUS,Finance,18,
Australia,AUS,Food & Drink,18,
Australia,AUS,Generative AI,18,0.8651
Australia,AUS,Graphic & Design,18,
Australia,AUS,Health & Fitness,18,1.4627
Australia,AUS,Lifestyle,18,
Australia,AUS,Medical,18,
Australia,AUS,Music,18,
Australia,AUS,News & Magazines,18,
Australia,AUS,Photo & Video,18,1.0628
Australia,AUS,Productivity,18,
Australia,AUS,Real Estate,18,
Australia,AUS,RMG,18,
Australia,AUS,Shopping,18,0.8117
Australia,AUS,Social,18,
Australia,AUS,Social Media,18,0.5714
Australia,AUS,Sports,18,1.2178
Australia,AUS,Tools,18,
Australia,AUS,Travel,18,0.4812
Australia,AUS,Travel & Navigation,18,
Australia,AUS,Utility & Productivity,18,0.5742
Australia,AUS,Weather,18,
Australia,AUS,Art & Design,19,
Australia,AUS,Automotive,19,
Australia,AUS,Books & Reference,19,0.6702
Australia,AUS,Business,19,
Australia,AUS,Education,19,0.6889
Australia,AUS,Entertainment,19,0.7854
Australia,AUS,Family & Relationships,19,
Australia,AUS,Finance,19,
Australia,AUS,Food & Drink,19,
Australia,AUS,Generative AI,19,1.0604
Australia,AUS,Graphic & Design,19,
Australia,AUS,Health & Fitness,19,1.6789
Australia,AUS,Lifestyle,19,
Australia,AUS,Medical,19,
Australia,AUS,Music,19,
Australia,AUS,News & Magazines,19,
Australia,AUS,Photo & Video,19,1.3388
Australia,AUS,Productivity,19,
Australia,AUS,Real Estate,19,
Australia,AUS,RMG,19,
Australia,AUS,Shopping,19,1.2893
Australia,AUS,Social,19,
Australia,AUS,Social Media,19,0.8467
Australia,AUS,Sports,19,1.4965
Australia,AUS,Tools,19,
Australia,AUS,Travel,19,0.3955
Australia,AUS,Travel & Navigation,19,
Australia,AUS,Utility & Productivity,19,0.6695
Australia,AUS,Weather,19,
Australia,AUS,Art & Design,20,
Australia,AUS,Automotive,20,
Australia,AUS,Books & Reference,20,1.3786
Australia,AUS,Business,20,
Australia,AUS,Education,20,1.2567
Australia,AUS,Entertainment,20,1.0471
Australia,AUS,Family & Relationships,20,
Australia,AUS,Finance,20,
Australia,AUS,Food & Drink,20,
Australia,AUS,Generative AI,20,1.4475
Australia,AUS,Graphic & Design,20,
Australia,AUS,Health & Fitness,20,1.315
Australia,AUS,Lifestyle,20,
Australia,AUS,Medical,20,
Australia,AUS,Music,20,
Australia,AUS,News & Magazines,20,
Australia,AUS,Photo & Video,20,1.3471
Australia,AUS,Productivity,20,
Australia,AUS,Real Estate,20,
Australia,AUS,RMG,20,
Australia,AUS,Shopping,20,1.6434
Australia,AUS,Social,20,
Australia,AUS,Social Media,20,1.2685
Australia,AUS,Sports,20,1.6688
Australia,AUS,Tools,20,
Australia,AUS,Travel,20,0.3123
Australia,AUS,Travel & Navigation,20,
Australia,AUS,Utility & Productivity,20,0.592
Australia,AUS,Weather,20,
Australia,AUS,Art & Design,21,
Australia,AUS,Automotive,21,
Australia,AUS,Books & Reference,21,1.6673
Australia,AUS,Business,21,
Australia,AUS,Education,21,2.0284
Australia,AUS,Entertainment,21,1.1035
Australia,AUS,Family & Relationships,21,
Australia,AUS,Finance,21,
Australia,AUS,Food & Drink,21,
Australia,AUS,Generative AI,21,1.6967
Australia,AUS,Graphic & Design,21,
Australia,AUS,Health & Fitness,21,0.7808
Australia,AUS,Lifestyle,21,
Australia,AUS,Medical,21,
Australia,AUS,Music,21,
Australia,AUS,News & Magazines,21,
Australia,AUS,Photo & Video,21,1.2427
