Country,Country code,Genre,Demographics (Age),%
U.S.,USA,E-Commerce,18-24,0.079
U.S.,USA,E-Commerce,25-34,0.297
U.S.,USA,E-Commerce,35-44,0.308
U.S.,USA,E-Commerce,45-54,0.178
U.S.,USA,E-Commerce,55+,0.139
U.S.,USA,On Demand,18-24,0.216
U.S.,USA,On Demand,25-34,0.316
U.S.,USA,On Demand,35-44,0.236
U.S.,USA,On Demand,45-54,0.149
U.S.,USA,On Demand,55+,0.084
U.S.,USA,Travel,18-24,0.045
U.S.,USA,Travel,25-34,0.282
U.S.,USA,Travel,35-44,0.316
U.S.,USA,Travel,45-54,0.226
U.S.,USA,Travel,55+,0.131
U.S.,USA,Finance,18-24,0.177
U.S.,USA,Finance,25-34,0.395
U.S.,USA,Finance,35-44,0.221
U.S.,USA,Finance,45-54,0.12
U.S.,USA,Finance,55+,0.087
U.S.,USA,Entertainment,18-24,0.381
U.S.,USA,Entertainment,25-34,0.292
U.S.,USA,Entertainment,35-44,0.135
U.S.,USA,Entertainment,45-54,0.102
U.S.,USA,Entertainment,55+,0.089
U.S.,USA,Social,18-24,0.391
U.S.,USA,Social,25-34,0.325
U.S.,USA,Social,35-44,0.128
U.S.,USA,Social,45-54,0.072
U.S.,USA,Social,55+,0.084
Vietnam,VNM,RMG,18-24,0.062
Vietnam,VNM,RMG,25-34,0.523
Vietnam,VNM,RMG,35-44,0.257
Vietnam,VNM,RMG,45-54,0.104
Vietnam,VNM,RMG,55+,0.055
Vietnam,VNM,E-Commerce,18-24,0.236
Vietnam,VNM,E-Commerce,25-34,0.476
Vietnam,VNM,E-Commerce,35-44,0.207
Vietnam,VNM,E-Commerce,45-54,0.075
Vietnam,VNM,E-Commerce,55+,0.006
Vietnam,VNM,On Demand,18-24,0.191
Vietnam,VNM,On Demand,25-34,0.502
Vietnam,VNM,On Demand,35-44,0.202
Vietnam,VNM,On Demand,45-54,0.077
Vietnam,VNM,On Demand,55+,0.028
Vietnam,VNM,Travel,18-24,0.033
Vietnam,VNM,Travel,25-34,0.576
Vietnam,VNM,Travel,35-44,0.274
Vietnam,VNM,Travel,45-54,0.109
Vietnam,VNM,Travel,55+,0.009
Vietnam,VNM,Finance,18-24,0.037
Vietnam,VNM,Finance,25-34,0.392
Vietnam,VNM,Finance,35-44,0.264
Vietnam,VNM,Finance,45-54,0.302
Vietnam,VNM,Finance,55+,0.005
Vietnam,VNM,Entertainment,18-24,0.265
Vietnam,VNM,Entertainment,25-34,0.606
Vietnam,VNM,Entertainment,35-44,0.106
Vietnam,VNM,Entertainment,45-54,0.017
Vietnam,VNM,Entertainment,55+,0.006
Vietnam,VNM,Social,18-24,0.275
Vietnam,VNM,Social,25-34,0.414
Vietnam,VNM,Social,35-44,0.206
Vietnam,VNM,Social,45-54,0.07
Vietnam,VNM,Social,55+,0.035
