Country,Country code,year,category,category2,revenue
All countries,All countries,2014,Tools,Non-Gaming,58378228.64
All countries,All countries,2014,Music & Audio,Non-Gaming,54511248.02
All countries,All countries,2016,Comics,Non-Gaming,54249406.89
All countries,All countries,2020,Travel,Non-Gaming,51158869.15
All countries,All countries,2017,Medical,Non-Gaming,50579848.34
All countries,All countries,2018,Shopping,Non-Gaming,50152985.81
All countries,All countries,2018,Graphics & Design,Non-Gaming,48270502.18
All countries,All countries,2018,Travel,Non-Gaming,48031136.28
All countries,All countries,2018,Maps & Navigation,Non-Gaming,47275832.8
All countries,All countries,2015,Dating,Non-Gaming,46874135.73
All countries,All countries,2014,Medical,Non-Gaming,46153242.28
All countries,All countries,2024,Travel & Local,Non-Gaming,45422931.73
All countries,All countries,2023,Parenting,Non-Gaming,45110112.11
All countries,All countries,2019,News & Magazines,Non-Gaming,44986162.75
All countries,All countries,2015,Medical,Non-Gaming,44568121.92
All countries,All countries,2015,Finance,Non-Gaming,44510853.72
All countries,All countries,2016,Medical,Non-Gaming,44071522.54
All countries,All countries,2018,Food & Drink,Non-Gaming,43414817.93
All countries,All countries,2017,Weather,Non-Gaming,42007471.41
All countries,All countries,2018,Photography,Non-Gaming,41929583.79
All countries,All countries,2021,Art & Design,Non-Gaming,40474819.73
All countries,All countries,2014,Weather,Non-Gaming,39837560.06
All countries,All countries,2015,Weather,Non-Gaming,39689826.02
All countries,All countries,2014,Travel,Non-Gaming,39455583.06
All countries,All countries,2015,Travel,Non-Gaming,37837305.89
All countries,All countries,2017,Maps & Navigation,Non-Gaming,37138377.38
All countries,All countries,2021,Personalization,Non-Gaming,36991535.11
All countries,All countries,2014,Finance,Non-Gaming,36796749.31
All countries,All countries,2023,Travel & Local,Non-Gaming,36625734.25
All countries,All countries,2024,Personalization,Non-Gaming,36301995.35
All countries,All countries,2016,Weather,Non-Gaming,36125468.13
All countries,All countries,2017,Travel,Non-Gaming,35999865.2
All countries,All countries,2018,Books & Reference,Non-Gaming,35030474.3
All countries,All countries,2022,Developer Tools,Non-Gaming,34964363.17
All countries,All countries,2015,Comics,Non-Gaming,34904909.95
All countries,All countries,2018,Video Players & Editors,Non-Gaming,34458457.96
All countries,All countries,2017,Shopping,Non-Gaming,34355244.56
All countries,All countries,2022,Parenting,Non-Gaming,33630965.69
All countries,All countries,2014,Food & Drink,Non-Gaming,33482608.13
All countries,All countries,2016,Travel,Non-Gaming,33378154.74
All countries,All countries,2018,News & Magazines,Non-Gaming,32367495.5
All countries,All countries,2017,Food & Drink,Non-Gaming,31778639.61
All countries,All countries,2020,Developer Tools,Non-Gaming,31343153.29
All countries,All countries,2021,Parenting,Non-Gaming,31232162.64
All countries,All countries,2022,Travel & Local,Non-Gaming,30767485.26
All countries,All countries,2015,Food & Drink,Non-Gaming,30070023.69
All countries,All countries,2023,Personalization,Non-Gaming,29779442.14
All countries,All countries,2021,Travel & Local,Non-Gaming,29732105.45
All countries,All countries,2022,Personalization,Non-Gaming,29609636.04
All countries,All countries,2016,Maps & Navigation,Non-Gaming,29242585.64
All countries,All countries,2014,Magazines & Newspapers,Non-Gaming,28392431.96
All countries,All countries,2016,Food & Drink,Non-Gaming,27600375.06
All countries,All countries,2024,Developer Tools,Non-Gaming,27547970.67
All countries,All countries,2014,Comics,Non-Gaming,26377851.58
All countries,All countries,2024,Auto & Vehicles,Non-Gaming,26351792.37
All countries,All countries,2023,Developer Tools,Non-Gaming,25976753.47
All countries,All countries,2021,Developer Tools,Non-Gaming,25816278.07
All countries,All countries,2015,Maps & Navigation,Non-Gaming,24854974.27
All countries,All countries,2014,Maps & Navigation,Non-Gaming,24580190.86
All countries,All countries,2020,Parenting,Non-Gaming,24418587.75
All countries,All countries,2017,Books & Reference,Non-Gaming,24163584.49
All countries,All countries,2020,Travel & Local,Non-Gaming,23985249.64
All countries,All countries,2017,Photography,Non-Gaming,23705414.66
All countries,All countries,2014,Personalization,Non-Gaming,23202115.94
All countries,All countries,2024,House & Home,Non-Gaming,22974336.18
All countries,All countries,2015,Magazines & Newspapers,Non-Gaming,22879600.62
All countries,All countries,2017,Graphics & Design,Non-Gaming,22694232.63
All countries,All countries,2017,News & Magazines,Non-Gaming,22453863.43
All countries,All countries,2024,Magazines & Newspapers,Non-Gaming,22278006.76
All countries,All countries,2023,Auto & Vehicles,Non-Gaming,22218618.81
All countries,All countries,2014,Photography,Non-Gaming,22062484.13
All countries,All countries,2020,Art & Design,Non-Gaming,22035972.49
All countries,All countries,2016,Magazines & Newspapers,Non-Gaming,21728247.15
All countries,All countries,2021,Auto & Vehicles,Non-Gaming,20774935.03
All countries,All countries,2019,Travel & Local,Non-Gaming,20264666.99
All countries,All countries,2023,Magazines & Newspapers,Non-Gaming,20204052.98
All countries,All countries,2017,Magazines & Newspapers,Non-Gaming,20091091.27
All countries,All countries,2020,Personalization,Non-Gaming,19770467.7
All countries,All countries,2014,Dating,Non-Gaming,19359870.02
All countries,All countries,2022,Auto & Vehicles,Non-Gaming,19183627.72
All countries,All countries,2014,Travel & Local,Non-Gaming,19009083.77
All countries,All countries,2022,Magazines & Newspapers,Non-Gaming,18798117.78
All countries,All countries,2017,Video Players & Editors,Non-Gaming,18728796.69
All countries,All countries,2021,Magazines & Newspapers,Non-Gaming,18315840.44
All countries,All countries,2016,Books & Reference,Non-Gaming,17925386.87
All countries,All countries,2014,Books & Reference,Non-Gaming,17853663.03
All countries,All countries,2016,Photography,Non-Gaming,17707505.98
All countries,All countries,2015,Photography,Non-Gaming,17688223.6
All countries,All countries,2016,Shopping,Non-Gaming,17314955.96
All countries,All countries,2020,Auto & Vehicles,Non-Gaming,17202743.64
All countries,All countries,2023,House & Home,Non-Gaming,17020732.21
All countries,All countries,2020,Magazines & Newspapers,Non-Gaming,16476157.37
All countries,All countries,2018,Magazines & Newspapers,Non-Gaming,16014580.58
All countries,All countries,2018,Travel & Local,Non-Gaming,15978867.44
All countries,All countries,2016,News & Magazines,Non-Gaming,15404150.55
All countries,All countries,2015,Personalization,Non-Gaming,15162456.81
All countries,All countries,2019,Personalization,Non-Gaming,14761672.49
All countries,All countries,2019,Auto & Vehicles,Non-Gaming,14598688.15
All countries,All countries,2019,Magazines & Newspapers,Non-Gaming,14393716.4
All countries,All countries,2015,Books & Reference,Non-Gaming,14135176.49
All countries,All countries,2019,Parenting,Non-Gaming,13572119.86
All countries,All countries,2024,Beauty,Non-Gaming,13501569.67
All countries,All countries,2022,House & Home,Non-Gaming,13301497.45
All countries,All countries,2016,Travel & Local,Non-Gaming,13208560.48
All countries,All countries,2017,Travel & Local,Non-Gaming,13095646.37
All countries,All countries,2015,Travel & Local,Non-Gaming,12883322.08
All countries,All countries,2016,Video Players & Editors,Non-Gaming,12849706.71
All countries,All countries,2018,Personalization,Non-Gaming,12286667.43
All countries,All countries,2021,House & Home,Non-Gaming,12240213.16
All countries,All countries,2016,Personalization,Non-Gaming,12030659.06
All countries,All countries,2016,Graphics & Design,Non-Gaming,10864080.79
All countries,All countries,2015,News & Magazines,Non-Gaming,10653550.72
All countries,All countries,2015,Shopping,Non-Gaming,10254680.22
All countries,All countries,2014,Video Players & Editors,Non-Gaming,9962870.78
All countries,All countries,2018,Auto & Vehicles,Non-Gaming,9629501.08
All countries,All countries,2019,Art & Design,Non-Gaming,9529189.92
All countries,All countries,2023,Beauty,Non-Gaming,9526789.7
All countries,All countries,2015,Video Players & Editors,Non-Gaming,9521022.54
All countries,All countries,2014,News & Magazines,Non-Gaming,9253093.72
All countries,All countries,2017,Personalization,Non-Gaming,8951352.94
All countries,All countries,2024,Events,Non-Gaming,8767665.67
All countries,All countries,2024,Libraries & Demo,Non-Gaming,7745193.7
All countries,All countries,2020,House & Home,Non-Gaming,7501975.63
All countries,All countries,2014,Shopping,Non-Gaming,7388410.34
All countries,All countries,2022,Beauty,Non-Gaming,7061776.26
All countries,All countries,2021,Beauty,Non-Gaming,6929357.2
All countries,All countries,2018,Parenting,Non-Gaming,6919252.02
All countries,All countries,2022,Libraries & Demo,Non-Gaming,6864649.39
All countries,All countries,2023,Libraries & Demo,Non-Gaming,6819723.67
All countries,All countries,2021,Libraries & Demo,Non-Gaming,6545840.34
All countries,All countries,2017,Auto & Vehicles,Non-Gaming,6444843.23
All countries,All countries,2023,Events,Non-Gaming,6182584.28
All countries,All countries,2018,Art & Design,Non-Gaming,5495935.12
All countries,All countries,2015,Graphics & Design,Non-Gaming,5430418.17
All countries,All countries,2022,Events,Non-Gaming,5252826.72
All countries,All countries,2020,Libraries & Demo,Non-Gaming,4998394.86
All countries,All countries,2019,House & Home,Non-Gaming,4608305.72
All countries,All countries,2016,Auto & Vehicles,Non-Gaming,4580537.09
All countries,All countries,2017,Parenting,Non-Gaming,4409797.66
All countries,All countries,2014,Media & Video,Non-Gaming,4140247.31
All countries,All countries,2020,Beauty,Non-Gaming,4046991.81
All countries,All countries,2021,Events,Non-Gaming,3748606.3
All countries,All countries,2014,Graphics & Design,Non-Gaming,3740513.19
All countries,All countries,2021,Stickers,Non-Gaming,3576602.53
All countries,All countries,2014,Transportation,Non-Gaming,3354193.81
All countries,All countries,2017,Art & Design,Non-Gaming,3348701.1
All countries,All countries,2018,House & Home,Non-Gaming,3215306.49
All countries,All countries,2019,Libraries & Demo,Non-Gaming,3117794.28
All countries,All countries,2015,Auto & Vehicles,Non-Gaming,2964456.65
All countries,All countries,2016,Parenting,Non-Gaming,2577511.9
All countries,All countries,2019,Beauty,Non-Gaming,2566583.51
All countries,All countries,2017,Catalogs,Non-Gaming,2354833.9
All countries,All countries,2020,Events,Non-Gaming,2352613.47
All countries,All countries,2016,Catalogs,Non-Gaming,2314623.35
All countries,All countries,2014,Auto & Vehicles,Non-Gaming,2185491.24
All countries,All countries,2018,Libraries & Demo,Non-Gaming,2104346.92
All countries,All countries,2019,Developer Tools,Non-Gaming,2091219.26
All countries,All countries,2014,Catalogs,Non-Gaming,2052171.09
All countries,All countries,2015,Media & Video,Non-Gaming,2044841.93
All countries,All countries,2015,Catalogs,Non-Gaming,1956451.65
All countries,All countries,2017,House & Home,Non-Gaming,1746696.85
All countries,All countries,2019,Events,Non-Gaming,1606657.65
All countries,All countries,2018,Beauty,Non-Gaming,1596678.12
All countries,All countries,2015,Transportation,Non-Gaming,1558078.78
All countries,All countries,2017,Libraries & Demo,Non-Gaming,1471724.31
All countries,All countries,2015,Parenting,Non-Gaming,1436150.7
All countries,All countries,2016,Art & Design,Non-Gaming,1291495.87
